PIN,Property Address,Most Recent Date Sale,Deed No.,Most Recent Sale Price,Pure Market Indicator,Estimate (Land),Estimate (Building),First Pass Value 1,First Pass Value 2,Land Value,Improvement Value,First Pass Value 3,First Pass Value 4,First Pass Value 5,First Pass Value 6,First Pass Value 7
11192230170000,,,,,,,,1469161,1469161,80535,1388626,1469161,1469161,1469161,1469161,
11184010100000,,,,,,,,3957680,3759796,286195,3473601,3759796,3759796,3759796,3759796,
11184050010000,,,,,,,,2142558,2035430,120120,1915310,2035430,2035430,2035430,2035430,
11184050020000,,,,,,,,2191214,2081653,118218,1963435,2081653,2081653,2081653,2081653,
11184050200000,,,,,,,,2325471,2209197,175011,2034186,2209197,2209197,2209197,2209197,
11184150010000,,,,,,,,2151223,2043662,137410,1906252,2043662,2043662,2043662,2043662,
11184160100000,,,,,,,,2189114,2079659,143325,1936334,2079659,2079659,2079659,2079659,
11184160120000,,,,,,,,2442747,2320610,143325,2177285,2320610,2320610,2320610,2320610,
11184170020000,,,,,,,,3071265,2917702,272090,2645612,2917702,2917702,2917702,2917702,
11184180130000,,,,,,,,2177900,2069005,129675,1939330,2069005,2069005,2069005,2069005,
11184200130000,,,,,,,,2371652,2253069,109200,2143869,2253069,2253069,2253069,2253069,
11184200140000,,,,,,,,2657837,2524945,121940,2403005,2524945,2524945,2524945,2524945,
11184200150000,,,,,,,,2578093,2449188,182000,2267188,2449188,2449188,2449188,2449188,
11184200160000,,,,,,,,2598506,2468581,182000,2286581,2468581,2468581,2468581,2468581,
11184210040000,,,,,,,,2588463,2459039,267749,2191290,2459039,2459039,2459039,2459039,
11184210050000,,,,,,,,3954924,3757178,485940,3271238,3757178,3757178,3757178,3757178,
11184210180000,,,,,,,,2758233,2620322,239976,2380345,2620322,2620322,2620322,2620322,
11184210200000,,,,,,,,2942478,2795354,262080,2533274,2795354,2795354,2795354,2795354,
11184210330000,,,,,,,,2967511,2819136,323314,2495822,2819136,2819136,2819136,2819136,
11192020200000,,,,,,,,2270137,2156630,195650,1960980,2156630,2156630,2156630,2156630,
11192020240000,,,,,,,,2861436,2718364,136955,2581409,2718364,2718364,2718364,2718364,
10112040080000,,,,,,,,757219,757219,68460,688759,757219,757219,757219,757219,
10123190050000,,,,,,,,722476,722476,62370,660106,722476,722476,722476,722476,
11071190290000,,,,,,,,908752,908752,83000,825752,908752,908752,908752,908752,
11071200390000,,,,,,,,1105478,1105478,67545,1037933,1105478,1105478,1105478,1105478,
11181020130000,,,,,,,,905181,905181,46065,859116,905181,905181,905181,905181,
11071170420000,,,,,,,,1779111,1779111,58449,1720663,1779111,1779111,1779111,1779111,
11071170430000,,,,,,,,1699360,1699360,58125,1641235,1699360,1699360,1699360,1699360,
11071170440000,,,,,,,,1697655,1697655,57793,1639862,1697655,1697655,1697655,1697655,
11071140130000,,,,,,,,1383168,1383168,132294,1250874,1383168,1383168,1383168,1383168,
11071210040000,,,,,,,,977687,977687,72625,905062,977687,977687,977687,977687,
10123030200000,,,,,,,,1016033,1041434,84000,957434,1041434,1041434,1041434,1041434,
10123030210000,,,,,,,,1124768,1152887,84000,1068887,1152887,1152887,1152887,1152887,
10123090240000,,,,,,,,1215607,1245997,118910,1127087,1245997,1245997,1245997,1245997,
11192090060000,,,,,,,,3263547,3100370,195650,2904720,3100370,3100370,3100370,3100370,
12133010630000,,,,,,,,522139,482979,22320,460659,482979,482979,482979,482979,
12134140110000,,,,,,,,464461,429627,18000,411627,429627,429627,429627,429627,
12133140080000,,,,,,,,509466,496729,18144,478585,496729,496729,496729,496729,
12134120200000,,,,,,,,469619,457878,18000,439878,457878,457878,457878,457878,
13181170160000,,,,,,,,454223,442867,19810,423058,442867,442867,442867,442867,
12134090360000,,,,,,,,701273,666210,18000,648210,666210,666210,666210,666210,
13183070110000,,,,,,,,801300,761235,18576,742659,761235,761235,761235,761235,
12022000510000,,,,,,,,716089,358045,25850,332195,358045,358045,358045,358045,
12011010050000,1754 W TALCOTT RD PARK RIDGE,,,,0,71660,239110,426257,362319,19246,343072,362319,362319,362319,362319,404080
12011010060000,1211 S WASHINGTON AVE PARK RIDGE,,,,0,71660,298480,436055,381548,19246,362301,381548,381548,381548,381548,395089
12011010070000,1215 S WASHINGTON AVE PARK RIDGE,,,,0,71660,297940,507407,520092,19246,500846,520092,520092,520092,520092,522226
12011010080000,1219 S WASHINGTON AVE PARK RIDGE,,,,0,71660,217960,465615,395773,19246,376526,395773,395773,395773,395773,412626
12011010090000,1233 S WASHINGTON AVE PARK RIDGE,,,,0,71660,255150,424394,371344,19246,352098,371344,371344,371344,371344,367452
12011010100000,300 W TALCOTT RD PARK RIDGE,,,,0,73840,278590,450306,394018,19832,374186,394018,394018,394018,394018,428332
12011020020000,1209 S WASHINGTON AVE PARK RIDGE,,,,0,82250,181090,395358,336054,22090,313964,336054,336054,336054,336054,340966
12011020030000,1213 S WASHINGTON AVE PARK RIDGE,,,,0,82250,197220,411607,349866,22090,327776,349866,349866,349866,349866,372136
12011020040000,1217 S WASHINGTON AVE PARK RIDGE,06/30/2017,01718106107,1015000,1,82250,634270,757493,946866,22090,924776,946866,946866,946866,946866,1015762
12011020050000,1221 S WASHINGTON AVE PARK RIDGE,,,,0,82250,168030,384611,326920,22090,304830,326920,326920,326920,326920,326374
12011020060000,1225 S WASHINGTON AVE PARK RIDGE,,,,0,80930,195920,431448,366731,21738,344993,366731,366731,366731,366731,400653
12011020070000,709  EDGEMONT LN PARK RIDGE,,,,0,95930,192060,414989,352740,25765,326975,352740,352740,352740,352740,374224
12011020130000,1216  LINDEN AVE PARK RIDGE,,,,0,82250,263600,510730,523499,22090,501409,523499,523499,523499,523499,475867
12011020170000,1234  LINDEN AVE PARK RIDGE,,,,0,84980,277190,445407,389731,22826,366906,389731,389731,389731,389731,410897
12011020180000,1300  LINDEN AVE PARK RIDGE,,,,0,42080,203590,372759,316845,11304,305542,316845,316845,316845,316845,310996
12011020190000,1304  LINDEN AVE PARK RIDGE,,,,0,64400,321860,459020,493447,17296,476151,493447,493447,493447,493447,475276
12011020210000,242 S TALCOTT RD PARK RIDGE,,,,0,54250,197670,393440,334424,14570,319854,334424,334424,334424,334424,327823
12011020220000,236 S TALCOTT RD PARK RIDGE,,,,0,58180,255130,396386,346838,15628,331211,346838,346838,346838,346838,354231
12011020230000,232 W TALCOTT RD PARK RIDGE,,,,0,65620,314840,462912,405048,17625,387423,405048,405048,405048,405048,436826
12011020240000,228 W TALCOTT RD PARK RIDGE,,,,0,65620,255100,410207,358932,17625,341307,358932,358932,358932,358932,368754
12011020260000,222 S TALCOTT RD PARK RIDGE,,,,0,58730,215390,398889,388917,15776,373141,388917,388917,388917,388917,332357
12011020280000,224 W TALCOTT RD PARK RIDGE,,,,0,54680,185800,388894,330559,14688,315872,330559,330559,330559,330559,329229
12011020290000,1306  LINDEN AVE PARK RIDGE,,,,0,61890,434780,519069,557999,16624,541375,557999,557999,557999,557999,588956
12011020300000,245  DEVON AVE PARK RIDGE,,,,0,57910,160820,346096,233615,15555,218060,233615,233615,233615,233615,234111
12011020310000,243  DEVON AVE PARK RIDGE,03/16/2018,01807542016,245000,1,62160,184560,372548,251470,16694,234775,251470,251470,251470,251470,268339
12011020320000,241  DEVON AVE PARK RIDGE,,,,0,62160,388120,480086,516092,16694,499398,516092,516092,516092,516092,518379
12011020330000,1235 S WASHINGTON AVE PARK RIDGE,,,,0,94610,478140,596594,596594,25411,571183,596594,596594,596594,596594,667356
12123071690000,7856 W LAWRENCE AVE NORRIDGE,,,,0,3050,0,329880,305139,773,0,305139,305139,10000,10000,
12011020340000,1301 S WASHINGTON AVE PARK RIDGE,01/25/2018,01802518054,335000,1,73060,186110,414521,352343,19622,332720,352343,352343,352343,352343,380555
12011020350000,235  DEVON AVE PARK RIDGE,,,,0,110770,323260,489725,428509,29751,398758,428509,428509,428509,428509,482151
12011020360000,1220  LINDEN AVE PARK RIDGE,,,,0,88410,583520,615816,769770,23747,746024,769770,769770,769770,769770,816995
12011020370000,1224  LINDEN AVE PARK RIDGE,,,,0,88970,513640,575258,719072,23895,695177,719072,719072,719072,719072,740684
12011020380000,1228  LINDEN AVE PARK RIDGE,,,,0,90380,402980,500249,625311,24276,601036,625311,625311,625311,625311,596119
12011020390000,217  DEVON AVE PARK RIDGE,03/15/2017,01707418004,520000,1,75600,488530,604750,755937,20304,735633,755937,755937,755937,755937,773526
12011020400000,211  DEVON AVE PARK RIDGE,,,,0,85210,502780,609280,761599,22887,738713,761599,761599,761599,761599,784770
12011020410000,1212  LINDEN AVE PARK RIDGE,,,,0,75600,470660,576332,720415,20304,700111,720415,720415,720415,720415,726303
12011030010000,207  DEVON AVE PARK RIDGE,,,,0,100750,198250,477524,405895,27060,378835,405895,405895,405895,405895,389797
12011030020000,1207  LINDEN AVE PARK RIDGE,,,,0,82250,592280,695806,869758,22090,847668,869758,869758,869758,869758,909735
12011030030000,1209  LINDEN AVE PARK RIDGE,,,,0,82250,187930,401333,341133,22090,319043,341133,341133,341133,341133,342716
12011030040000,1215  LINDEN AVE PARK RIDGE,,,,0,81810,438450,551795,593180,21972,571207,593180,593180,593180,593180,619400
12011030090000,1229  LINDEN AVE PARK RIDGE,,,,0,82810,196560,419518,356590,22240,334350,356590,356590,356590,356590,363284
12011030100000,1233  LINDEN AVE PARK RIDGE,,,,0,83740,247370,455769,467163,22492,444671,467163,467163,467163,467163,468849
12011030120000,1305  LINDEN AVE PARK RIDGE,,,,0,74040,246050,389984,380234,19886,360348,380234,380234,380234,380234,384022
12011030130000,1307  LINDEN AVE PARK RIDGE,04/12/2018,01810145036,699900,1,83740,607860,759684,759684,22492,737192,759684,759684,759684,759684,967165
12011030140000,1315  LINDEN AVE PARK RIDGE,,,,0,62250,196820,416314,353867,16720,337146,353867,353867,353867,353867,351923
12011030150000,1319  LINDEN AVE PARK RIDGE,,,,0,66340,177100,378762,321948,17818,304130,321948,321948,321948,321948,294780
12011030160000,1200  GROVE AVE PARK RIDGE,,,,0,100750,175350,420662,357562,27060,330502,357562,357562,357562,357562,300136
12011030170000,1204  GROVE AVE PARK RIDGE,06/14/2018,01816534063,1050000,1,82250,542300,714883,714883,22090,692793,714883,714883,714883,714883,938415
12011030180000,1208  GROVE AVE PARK RIDGE,,,,0,82250,267350,453167,464496,22090,442406,464496,464496,464496,464496,440418
12011030190000,1212  GROVE AVE PARK RIDGE,,,,0,81810,143690,346750,234057,21972,212084,234057,234057,234057,234057,228015
12011030200000,1216  GROVE AVE PARK RIDGE,,,,0,81810,515120,661183,826479,21972,804506,826479,826479,826479,826479,904972
12011030210000,1220  GROVE AVE PARK RIDGE,,,,0,81810,215950,409988,348490,21972,326517,348490,348490,348490,348490,361419
12011030220000,1224  GROVE AVE PARK RIDGE,,,,0,81810,590730,685679,857099,21972,835126,857099,857099,857099,857099,956556
12011030230000,1230  GROVE AVE PARK RIDGE,,,,0,100460,420490,540732,581287,26983,554304,581287,581287,581287,581287,580551
12011030240000,1232  GROVE AVE PARK RIDGE,10/27/2017,01730049137,280000,1,76090,184720,386480,328508,20436,308073,328508,328508,328508,328508,320745
12011030270000,1306  GROVE AVE PARK RIDGE,,,,0,76090,196090,398963,339119,20436,318683,339119,339119,339119,339119,335545
12011030280000,1310  GROVE AVE PARK RIDGE,,,,0,76090,254860,447897,459095,20436,438659,459095,459095,459095,459095,442352
12011030290000,1314  GROVE AVE PARK RIDGE,,,,0,76090,290590,439343,428359,20436,407923,428359,428359,428359,428359,431311
12011030300000,1320  GROVE AVE PARK RIDGE,,,,0,91290,158970,381566,324331,24520,299811,324331,324331,324331,324331,331072
12011030310000,1324  GROVE AVE PARK RIDGE,,,,0,92120,207730,439620,450611,24741,425870,450611,450611,450611,450611,414761
12011030340000,206 W TALCOTT RD PARK RIDGE,,,,0,60630,407200,516427,555159,16286,538874,555159,555159,555159,555159,535881
12011030350000,202 S TALCOTT RD PARK RIDGE,,,,0,55120,156760,338935,228781,14805,213976,228781,228781,228781,228781,224958
12011030360000,122 S TALCOTT RD PARK RIDGE,,,,0,55120,261700,449808,461053,14805,446248,461053,461053,461053,461053,410679
12011030370000,118 S TALCOTT RD PARK RIDGE,,,,0,55120,250000,407345,397162,14805,382357,397162,397162,397162,397162,389004
12011030380000,114 S TALCOTT RD PARK RIDGE,,,,0,55120,200560,403490,342966,14805,328161,342966,342966,342966,342966,321723
12011030430000,1221  LINDEN AVE PARK RIDGE,,,,0,81810,177380,446202,379272,21972,357300,379272,379272,379272,379272,394042
12011030440000,1225  LINDEN AVE PARK RIDGE,,,,0,77070,210260,415086,352823,20699,332124,352823,352823,352823,352823,366352
12011030450000,1236  GROVE AVE PARK RIDGE,,,,0,77720,192870,407739,346578,20875,325703,346578,346578,346578,346578,339380
12011030460000,1302  GROVE AVE PARK RIDGE,,,,0,74450,371180,490480,527267,19996,507270,527267,527267,527267,527267,524863
12011030470000,108 S TALCOTT RD PARK RIDGE,,,,0,55120,203710,393836,334761,14805,319956,334761,334761,334761,334761,324686
12011030480000,210 W TALCOTT RD PARK RIDGE,,,,0,77450,303020,462622,451056,20802,430254,451056,451056,451056,451056,477282
12011030490000,1301  LINDEN AVE PARK RIDGE,,,,0,88760,561770,750523,750523,23838,726684,750523,750523,750523,750523,997300
12011030500000,0  LINDEN AVE PARK RIDGE,,,,0,100110,602860,771203,771203,26889,744314,771203,771203,771203,771203,1034662
12011040010000,1201  GROVE AVE PARK RIDGE,,,,0,91110,195040,422987,359539,24471,335068,359539,359539,359539,359539,382622
12011040020000,1205  GROVE AVE PARK RIDGE,,,,0,70870,177800,417897,355212,19035,336177,355212,355212,355212,355212,369948
12011040030000,1209  GROVE AVE PARK RIDGE,,,,0,69560,176170,373639,317593,18682,298910,317593,317593,317593,317593,307541
12011040040000,1213  GROVE AVE PARK RIDGE,,,,0,68680,485000,615771,769714,18448,751266,769714,769714,769714,769714,781406
12011040050000,1217  GROVE AVE PARK RIDGE,,,,0,66930,247350,405278,395146,17978,377168,395146,395146,395146,395146,391540
12011040060000,1221  GROVE AVE PARK RIDGE,,,,0,65180,279800,427334,416651,17508,399144,416651,416651,416651,416651,413690
12011040070000,1225  GROVE AVE PARK RIDGE,,,,0,62590,143640,366537,311556,16812,294744,311556,311556,311556,311556,297795
12011040080000,1229  GROVE AVE PARK RIDGE,,,,0,76330,408040,546270,587240,20501,566739,587240,587240,587240,587240,612497
12011040120000,1301  GROVE AVE PARK RIDGE,,,,0,59060,262050,442205,453261,15862,437398,453261,453261,453261,453261,438785
12011040130000,1305  GROVE AVE PARK RIDGE,,,,0,28210,137430,442305,375960,7579,368381,375960,375960,375960,375960,378470
12011040140000,1305  GROVE AVE PARK RIDGE,,,,0,28210,137430,442305,375960,7579,368381,375960,375960,375960,375960,
12011040150000,1309  GROVE AVE PARK RIDGE,,,,0,28210,133480,402330,352039,7579,344460,352039,352039,352039,352039,310866
12011040160000,1309  GROVE AVE PARK RIDGE,,,,0,28210,133480,402330,352039,7579,344460,352039,352039,352039,352039,
12011040210000,1321  GROVE AVE PARK RIDGE,,,,0,65690,326050,499452,536911,17644,519267,536911,536911,536911,536911,537007
12011040220000,1325  GROVE AVE PARK RIDGE,,,,0,71990,285210,426859,416187,19336,396851,416187,416187,416187,416187,424919
12011040230000,1329  GROVE AVE PARK RIDGE,,,,0,76300,218210,406634,345639,20494,325145,345639,345639,345639,345639,351116
12011040260000,1208  CANFIELD RD PARK RIDGE,,,,0,78310,114310,338729,228642,21032,207609,228642,228642,228642,228642,204535
12011040270000,1212  CANFIELD RD PARK RIDGE,,,,0,74810,152600,350866,377181,20092,357088,377181,377181,377181,377181,330964
11192100060000,,,,,,,,2086369,1982051,116025,1866026,1982051,1982051,1982051,1982051,
12011040280000,1216  CANFIELD RD PARK RIDGE,05/03/2018,01812318040,373000,1,71310,169420,371420,315707,19152,296555,315707,315707,315707,315707,345227
12011040290000,1220  CANFIELD RD PARK RIDGE,,,,0,68250,358970,467689,502766,18330,484436,502766,502766,502766,502766,474240
12011040300000,1224  CANFIELD RD PARK RIDGE,,,,0,64750,157490,345527,233231,17390,215841,233231,233231,233231,233231,232130
12011040310000,1228  CANFIELD RD PARK RIDGE,,,,0,75740,179670,375355,319052,20344,298708,319052,319052,319052,319052,292843
12011040320000,1234  CANFIELD RD PARK RIDGE,,,,0,63000,160170,347377,234480,16920,217560,234480,234480,234480,234480,236064
12011040330000,1234  CANFIELD RD PARK RIDGE,,,,0,31710,0,376450,376450,8519,0,376450,376450,10000,10000,
12011040380000,1308  CANFIELD RD PARK RIDGE,,,,0,66060,147990,346232,233706,17742,215964,233706,233706,233706,233706,231624
12011040390000,1312  CANFIELD RD PARK RIDGE,,,,0,33460,94060,375530,319200,8989,310211,319200,319200,319200,319200,302579
12011040400000,1312  CANFIELD RD PARK RIDGE,,,,0,33680,94060,375636,319291,9048,310243,319291,319291,319291,319291,
12011040430000,1320  CANFIELD RD PARK RIDGE,,,,0,34340,232380,470718,588398,9224,579174,588398,588398,588398,588398,585430
12011040440000,1320  CANFIELD RD PARK RIDGE,,,,0,34560,232380,470825,588531,9282,579248,588531,588531,588531,588531,
12011040450000,1324  CANFIELD RD PARK RIDGE,,,,0,34780,71690,359203,305322,9341,295981,305322,305322,305322,305322,267504
12011040460000,1324  CANFIELD RD PARK RIDGE,,,,0,35000,71690,359309,305413,9400,296013,305413,305413,305413,305413,
12011040470000,1328  CANFIELD RD PARK RIDGE,,,,0,35210,76200,374544,318362,9459,308904,318362,318362,318362,318362,301774
12011040480000,1328  CANFIELD RD PARK RIDGE,,,,0,35650,76200,374757,318544,9576,308967,318544,318544,318544,318544,
12011040530000,102 S TALCOTT RD PARK RIDGE,,,,0,27560,213570,392532,333652,7402,326250,333652,333652,333652,333652,316402
12011040540000,100 S TALCOTT RD PARK RIDGE,,,,0,55120,202190,386407,328446,14805,313641,328446,328446,328446,328446,322384
12011040550000,24 S TALCOTT RD PARK RIDGE,,,,0,55120,183670,404199,343569,14805,328764,343569,343569,343569,343569,317170
12011040560000,20 S TALCOTT RD PARK RIDGE,,,,0,55120,169420,351565,237306,14805,222501,237306,237306,237306,237306,247455
12011040640000,1233  GROVE AVE PARK RIDGE,,,,0,47900,207220,385820,327947,12866,315081,327947,327947,327947,327947,329393
12011040650000,1237  GROVE AVE PARK RIDGE,,,,0,46920,166620,371737,315976,12603,303373,315976,315976,315976,315976,294438
12011040700000,1317  GROVE AVE PARK RIDGE,,,,0,60630,238290,399970,349974,16286,333688,349974,349974,349974,349974,327078
12011040720000,1315  GROVE AVE PARK RIDGE,,,,0,56000,225030,401496,341272,15040,326232,341272,341272,341272,341272,341755
12011040730000,14 S TALCOTT RD PARK RIDGE,,,,0,58180,168370,381237,324052,15628,308424,324052,324052,324052,324052,311979
12011040740000,1304  CANFIELD RD PARK RIDGE,,,,0,65180,245830,393982,344734,17508,327227,344734,344734,344734,344734,336753
12011040760000,1300  CANFIELD RD PARK RIDGE,,,,0,64310,230030,434226,369092,17272,351819,369092,369092,369092,369092,352358
12011040770000,1316 N CANFIELD AVE PARK RIDGE,05/23/2018,01814310034,284000,1,68250,199540,396401,336941,18330,318611,336941,336941,336941,336941,340844
12011160010000,245 S TALCOTT RD PARK RIDGE,,,,0,47070,271550,408956,398732,12643,386089,398732,398732,398732,398732,388503
12011160020000,241 S TALCOTT RD PARK RIDGE,,,,0,41970,276120,407756,356786,11273,345513,356786,356786,356786,356786,340987
12011160030000,237 S TALCOTT RD PARK RIDGE,,,,0,41970,309510,428471,417759,11273,406486,417759,417759,417759,417759,415465
12011160040000,233 S TALCOTT RD PARK RIDGE,,,,0,41970,280750,463646,475237,11273,463964,475237,475237,475237,475237,418935
12011160050000,242  TALCOTT PL PARK RIDGE,,,,0,60230,216490,398091,338377,16177,322200,338377,338377,338377,338377,355679
12011160080000,234  TALCOTT PL PARK RIDGE,,,,0,50710,231860,415761,353397,13621,339776,353397,353397,353397,353397,374823
12011160100000,1310  LINDEN AVE PARK RIDGE,,,,0,61140,262170,584436,730545,16422,714124,730545,730545,730545,730545,672101
11192100080000,,,,,,,,2935278,2788514,178132,2610382,2788514,2788514,2788514,2788514,
12011160110000,1310  LINDEN AVE PARK RIDGE,,,,0,65450,262170,586536,733170,17578,715592,733170,733170,733170,733170,
12011160120000,225 W TALCOTT RD PARK RIDGE,,,,0,71700,534950,590960,738700,19258,719441,738700,738700,738700,738700,748774
12011160130000,229  TALCOTT AVE PARK RIDGE,03/19/2018,01807829038,415000,1,73230,505830,576900,721126,19670,701456,721126,721126,721126,721126,674410
12011160170000,1337 S WASHINGTON AVE PARK RIDGE,,,,0,47490,216270,396619,337126,12756,324370,337126,337126,337126,337126,346991
12011160180000,1343 S WASHINGTON AVE PARK RIDGE,,,,0,56770,240570,434171,369045,15249,353796,369045,369045,369045,369045,395934
12123071700000,7856 W LAWRENCE AVE NORRIDGE,,,,0,3050,0,329904,305161,773,0,305161,305161,10000,10000,
12011160190000,220  YOST ST PARK RIDGE,,,,0,56760,209960,423017,359564,15244,344320,359564,359564,359564,359564,375828
12011160200000,200  YOST ST PARK RIDGE,01/13/2017,01701355139,425000,1,56760,255730,430573,376751,15244,361507,376751,376751,376751,376751,396514
12011160210000,1336  LINDEN AVE PARK RIDGE,,,,0,56770,258520,423255,370348,15249,355099,370348,370348,370348,370348,386717
12011160220000,1332  LINDEN AVE PARK RIDGE,,,,0,56740,540760,629711,629711,15240,614471,629711,629711,629711,629711,754261
12011160230000,1328  LINDEN AVE PARK RIDGE,,,,0,57810,498230,577030,721288,15526,705761,721288,721288,721288,721288,693850
12011160240000,1324  LINDEN AVE PARK RIDGE,,,,0,69780,534350,558218,697772,18741,679031,697772,697772,697772,697772,735812
12011160250000,1320  LINDEN AVE PARK RIDGE,,,,0,86140,338420,526045,539196,23136,516060,539196,539196,539196,539196,584413
12011160260000,1325 S WASHINGTON AVE PARK RIDGE,,,,0,83280,493550,620577,775722,22367,753354,775722,775722,775722,775722,796374
12011160270000,1331 S WASHINGTON AVE PARK RIDGE,,,,0,79090,539870,639020,798775,21242,777534,798775,798775,798775,798775,815558
12011170090000,1621  LINDEN AVE PARK RIDGE,,,,0,80750,267840,459992,471491,21688,449803,471491,471491,471491,471491,454563
12011170100000,1625  LINDEN AVE PARK RIDGE,,,,0,67870,465850,528376,660470,18229,642241,660470,660470,660470,660470,639861
12011170110000,1629  LINDEN AVE PARK RIDGE,,,,0,69820,283680,478078,490030,18753,471277,490030,490030,490030,490030,493107
12011170120000,1633  LINDEN AVE PARK RIDGE,,,,0,58180,254080,432538,367657,15628,352030,367657,367657,367657,367657,403097
12011170130000,1701  LINDEN AVE PARK RIDGE,,,,0,58180,409570,502711,628388,15628,612761,628388,628388,628388,628388,581209
12011170140000,1705  LINDEN AVE PARK RIDGE,,,,0,58180,280170,467007,478682,15628,463055,478682,478682,478682,478682,487883
12011170150000,1707  LINDEN AVE PARK RIDGE,,,,0,58180,310940,448581,392508,15628,376881,392508,392508,392508,392508,408844
12011170160000,1711  LINDEN AVE PARK RIDGE,,,,0,58180,312690,441583,386385,15628,370757,386385,386385,386385,386385,408338
10131170010000,,,,,,,,330777,430010,29987,400023,430010,430010,430010,430010,
12011170170000,1713  LINDEN AVE PARK RIDGE,,,,0,58180,322250,457613,400412,15628,384784,400412,400412,400412,400412,418221
12011170180000,1717  LINDEN AVE PARK RIDGE,,,,0,58180,428220,490467,613083,15628,597456,613083,613083,613083,613083,575458
12011170190000,1721  LINDEN AVE PARK RIDGE,,,,0,58180,283140,444728,389137,15628,373510,389137,389137,389137,389137,398211
12011170200000,1725  LINDEN AVE PARK RIDGE,,,,0,58180,398080,506186,632733,15628,617106,632733,632733,632733,632733,635139
12011170210000,1729  LINDEN AVE PARK RIDGE,09/04/2018,01824755009,523000,1,58180,300580,464860,476481,15628,460854,476481,476481,476481,476481,472948
12011170220000,1716  NEWTON AVE PARK RIDGE,07/11/2017,01719208020,567500,1,64430,516040,589041,736301,17305,718996,736301,736301,736301,736301,692873
12011170230000,1652  NEWTON AVE PARK RIDGE,,,,0,64530,517440,590377,737971,17331,720639,737971,737971,737971,737971,694966
12011170240000,1648  NEWTON AVE PARK RIDGE,06/28/2017,01717906164,1,0,66870,515100,633731,792164,17961,774203,792164,792164,792164,792164,799050
12011170250000,1644  NEWTON AVE PARK RIDGE,,,,0,67720,477530,564329,705411,18189,687222,705411,705411,705411,705411,662126
12011170260000,1640  NEWTON AVE PARK RIDGE,,,,0,68290,496960,582130,727663,18342,709321,727663,727663,727663,727663,685352
12011170270000,1636  NEWTON AVE PARK RIDGE,,,,0,91770,425610,562513,703142,24649,678493,703142,703142,703142,703142,670817
12011170280000,1632  NEWTON AVE PARK RIDGE,,,,0,125510,587620,685478,856848,33711,823137,856848,856848,856848,856848,936625
